Continent_Name,Year,GDP_per_capita
Africa,1960,179.65937681492167
Asia,1960,636.4738614221543
Europe,1960,1782.3477078136505
North America,1960,731.484666151978
Oceania,1960,935.8448069733851
South America,1960,404.41305505660677
Africa,1961,183.0439711673771
Asia,1961,649.3774256639693
Europe,1961,1846.2230486902267
North America,1961,747.3509159407961
Oceania,1961,942.381583124642
South America,1961,439.4867566980285
Africa,1962,188.8037699889183
Asia,1962,642.877868856159
Europe,1962,1916.823257122048
North America,1962,771.1170108105683
Oceania,1962,948.2327199704113
South America,1962,451.23792385100415
Africa,1963,202.93016510317636
Asia,1963,650.5935316553396
Europe,1963,1998.4058927377155
North America,1963,798.7302769946937
Oceania,1963,966.8387672807781
South America,1963,453.94064310573964
Africa,1964,213.88368424051424
Asia,1964,662.6004405614893
Europe,1964,2123.888720132775
North America,1964,838.1602057574943
Oceania,1964,990.7163367722109
South America,1964,497.6749267928067
Africa,1965,227.24263170961603
Asia,1965,666.7129640277545
Europe,1965,2229.253047980898
North America,1965,880.7632117412535
Oceania,1965,959.5625933179565
South America,1965,515.6754833198214
Africa,1966,238.79952757316897
Asia,1966,691.1135357885175
Europe,1966,2341.040012995287
North America,1966,940.1466412668052
Oceania,1966,987.8113931780731
South America,1966,539.729367685884
Africa,1967,244.67644880891683
Asia,1967,696.0198249821091
Europe,1967,2415.946749260988
North America,1967,994.6271560251527
Oceania,1967,1010.2684981421372
South America,1967,527.3744149564238
Africa,1968,262.1515868729085
Asia,1968,730.4685331031731
Europe,1968,2449.7090306502205
North America,1968,1044.0573271762642
Oceania,1968,1038.7234431526815
South America,1968,536.144625963698
Africa,1969,278.43684065832997
Asia,1969,760.3855473779097
Europe,1969,2595.7090451526956
North America,1969,1115.5383519540935
Oceania,1969,1079.729416606683
South America,1969,591.2799390531434
Africa,1970,284.0556220094173
Asia,1970,790.94663319429
Europe,1970,2813.8688184134903
North America,1970,1178.6317778152002
Oceania,1970,1171.8420373563151
South America,1970,618.6235729913739
Africa,1971,302.6125992835905
Asia,1971,882.4105443621029
Europe,1971,3140.3042381957925
North America,1971,1281.0391493069308
Oceania,1971,1282.8875657161643
South America,1971,678.7483195582985
Africa,1972,343.0066763842983
Asia,1972,1054.0409087530397
Europe,1972,3762.5217555844138
North America,1972,1406.3628537428958
Oceania,1972,1439.906783248254
South America,1972,699.7605842806846
Africa,1973,432.03380787737916
Asia,1973,1524.6583944496695
Europe,1973,4834.054286538915
North America,1973,1590.7458734545112
Oceania,1973,1716.5385972112526
South America,1973,921.9143632314563
Africa,1974,571.2607546941591
Asia,1974,3292.3485622791773
Europe,1974,5529.292000821033
North America,1974,1810.6842386008054
Oceania,1974,2116.6436016861535
South America,1974,1159.3750059958265
Africa,1975,615.8682700249798
Asia,1975,3386.7600156901335
Europe,1975,6406.6680562485935
North America,1975,1984.5270241813291
Oceania,1975,2264.6980050629804
South America,1975,1075.3649666655028
Africa,1976,678.1756262060564
Asia,1976,3939.31985832879
Europe,1976,6800.571578367415
North America,1976,2161.7503678322714
Oceania,1976,2289.6416115145125
South America,1976,1153.1871969223
Africa,1977,723.285606364819
Asia,1977,4368.183715951481
Europe,1977,7644.666686324702
North America,1977,2394.640796026679
Oceania,1977,2387.5520232244303
South America,1977,1312.5143766175813
Africa,1978,758.2496776674732
Asia,1978,4454.726531006862
Europe,1978,9285.304216089276
North America,1978,2666.3265908463763
Oceania,1978,2614.5484448169605
South America,1978,1522.7110422581106
Africa,1979,909.8240582269095
Asia,1979,5671.778226396313
Europe,1979,10965.531310111855
North America,1979,3028.8350529227714
Oceania,1979,2955.2263266396826
South America,1979,1714.5518942968138
Africa,1980,1098.7281629507997
Asia,1980,7529.288499771964
Europe,1980,12257.831369281088
North America,1980,3547.9301253496506
Oceania,1980,3199.3796891629777
South America,1980,2019.5470198075584
Africa,1981,1053.7539860715515
Asia,1981,7387.36859954668
Europe,1981,11045.708437395337
North America,1981,3824.9202797410458
Oceania,1981,3240.913017586091
South America,1981,2239.0037705955306
Africa,1982,997.4179144498187
Asia,1982,6714.575081190478
Europe,1982,10588.399792548882
North America,1982,3914.804759368516
Oceania,1982,3238.5562007122667
South America,1982,2049.7618647324393
Africa,1983,968.4451549756064
Asia,1983,6089.852054391858
Europe,1983,10151.771709476918
North America,1983,4129.2856130580685
Oceania,1983,3086.369563165172
South America,1983,1858.7846117167865
Africa,1984,922.9474843780371
Asia,1984,5923.835725521091
Europe,1984,9788.455000798045
North America,1984,4401.268829676846
Oceania,1984,3096.982382924232
South America,1984,1779.2161553195158
Africa,1985,921.3677967836135
Asia,1985,5523.8588266772185
Europe,1985,10125.586865737387
North America,1985,4559.862444201414
Oceania,1985,3074.6248291545585
South America,1985,1620.3457707652904
Africa,1986,858.8965498767709
Asia,1986,4812.783222013306
Europe,1986,13834.471559828891
North America,1986,4870.102324698786
Oceania,1986,3602.645096539127
South America,1986,1712.8373036907903
Africa,1987,934.8742129070504
Asia,1987,5232.73729729074
Europe,1987,17135.400779202573
North America,1987,5378.285079135281
Oceania,1987,4086.69453178082
South America,1987,1778.3373201045977
Africa,1988,960.9710919596748
Asia,1988,5489.003788177077
Europe,1988,18842.72382427882
North America,1988,5831.751774262767
Oceania,1988,4673.51182416537
South America,1988,1877.4925065972072
Africa,1989,970.5978083571604
Asia,1989,5775.971901285068
Europe,1989,18859.476949277425
North America,1989,6204.25172755735
Oceania,1989,4962.634362620247
South America,1989,1651.652052039554
Africa,1990,1130.4786352380386
Asia,1990,6655.8684617639265
Europe,1990,23032.154998939946
North America,1990,6551.162154826492
Oceania,1990,5358.504916370762
South America,1990,1879.4962657767428
Africa,1991,1130.2343731513297
Asia,1991,6559.235397932436
Europe,1991,23407.968303087873
North America,1991,6708.515902378739
Oceania,1991,5386.340868342353
South America,1991,2130.5153963810767
Africa,1992,1135.2832314213724
Asia,1992,7058.572918411247
Europe,1992,25053.09730463112
North America,1992,6868.609371358555
Oceania,1992,5513.58607568814
South America,1992,2344.99868323849
Africa,1993,1088.3310317387086
Asia,1993,7291.679264471385
Europe,1993,22999.594044737034
North America,1993,7073.716284214311
Oceania,1993,5348.307901421038
South America,1993,2463.237689602683
Africa,1994,1029.2122460079459
Asia,1994,7767.257796135428
Europe,1994,24627.34778049433
North America,1994,7406.991341090193
Oceania,1994,5719.1323239807225
South America,1994,2819.2169596169856
Africa,1995,1110.1648660003123
Asia,1995,8650.565389668072
Europe,1995,28977.992054849907
North America,1995,7793.527136604658
Oceania,1995,6372.263472613465
South America,1995,3239.596397035431
Africa,1996,1170.824928005074
Asia,1996,8861.692593274574
Europe,1996,29433.58833719246
North America,1996,8455.27847058408
Oceania,1996,6573.973910215499
South America,1996,3384.5852827463073
Africa,1997,1185.2717825740235
Asia,1997,8846.055871073322
Europe,1997,27452.45742554806
North America,1997,9149.503476720569
Oceania,1997,6345.053345770593
South America,1997,3662.4302916531847
Africa,1998,1138.6190539693496
Asia,1998,7776.421301848454
Europe,1998,28511.12751184352
North America,1998,9635.781065530951
Oceania,1998,5987.753879454298
South America,1998,3648.191011070751
Africa,1999,1163.1202604799785
Asia,1999,8282.20564392444
Europe,1999,28964.992166485597
North America,1999,10134.577797221507
Oceania,1999,5950.037725542022
South America,1999,3238.520560055222
Africa,2000,1185.726414026549
Asia,2000,9221.141715634896
Europe,2000,27378.855073787934
North America,2000,10624.06394897024
Oceania,2000,5718.868285147963
South America,2000,3311.258831197638
Africa,2001,1151.4865497594192
Asia,2001,8642.208294269703
Europe,2001,27483.444349763173
North America,2001,10957.836308579203
Oceania,2001,5490.033639046137
South America,2001,3132.704887703867
Africa,2002,1129.0641454758984
Asia,2002,8750.656070099372
Europe,2002,30062.695576892133
North America,2002,11384.078705779466
Oceania,2002,5938.7814582155415
South America,2002,2463.5833386963645
Africa,2003,1338.4872440313218
Asia,2003,9612.483128390784
Europe,2003,36397.953759399876
North America,2003,12130.13135971933
Oceania,2003,7093.147574649508
South America,2003,2555.748344360669
Africa,2004,1608.5862716312915
Asia,2004,11019.880220737034
Europe,2004,41676.93475338476
North America,2004,13078.739326198147
Oceania,2004,8307.106097148964
South America,2004,3077.2256958915405
Africa,2005,1888.6972169919754
Asia,2005,12641.103761679848
Europe,2005,44003.264391841134
North America,2005,14174.522886554483
Oceania,2005,8933.537936481158
South America,2005,3724.395944805489
Africa,2006,2091.6014047440135
Asia,2006,14095.904250862106
Europe,2006,47290.28777325028
North America,2006,15884.610891274282
Oceania,2006,9283.05453965103
South America,2006,4650.53209229585
Africa,2007,2328.0249722819553
Asia,2007,15359.472591993272
Europe,2007,55177.341165775266
North America,2007,17274.434867236767
Oceania,2007,10648.573029671936
South America,2007,5502.493359250636
Africa,2008,2686.4716195853102
Asia,2008,17538.348003694067
Europe,2008,59511.86807214398
North America,2008,18205.586278400027
Oceania,2008,11476.137786177238
South America,2008,6651.577643233264
Africa,2009,2316.862498770837
Asia,2009,14843.054934081068
Europe,2009,52304.74837696052
North America,2009,17147.336502680035
Oceania,2009,10527.866664225823
South America,2009,6575.24641417188
Africa,2010,2597.432242514716
Asia,2010,16957.61489393755
Europe,2010,52910.27606090314
North America,2010,17792.82630498684
Oceania,2010,11644.599591058675
South America,2010,7981.706643846613
Africa,2011,2829.4243137200665
Asia,2011,19876.546250870582
Europe,2011,57995.23784120865
North America,2011,18363.252026176116
Oceania,2011,13186.903245078367
South America,2011,8833.213971301831
Africa,2012,2983.558753002504
Asia,2012,20318.960988400526
Europe,2012,54598.02685078152
North America,2012,18728.965014422207
Oceania,2012,13678.198176190752
South America,2012,9387.485369510237
Africa,2013,2996.016341568205
Asia,2013,19953.91487348658
Europe,2013,58156.91016042778
North America,2013,19133.114959471844
Oceania,2013,13998.291183034504
South America,2013,9740.460604151112
Africa,2014,2948.095668283544
Asia,2014,19521.713101107624
Europe,2014,59842.52614042391
North America,2014,19548.603879874452
Oceania,2014,13961.069968412085
South America,2014,9903.213726922613
Africa,2015,2520.2469911604867
Asia,2015,16868.17974973222
Europe,2015,52999.12810022872
North America,2015,19375.230049427602
Oceania,2015,12574.264453710106
South America,2015,9242.08561531504
Africa,2016,2484.057243577145
Asia,2016,16651.124648592435
Europe,2016,53767.81893764729
North America,2016,19764.720029231954
Oceania,2016,12473.521698617547
South America,2016,8880.008808155739
Africa,2017,2692.0798397130516
Asia,2017,17527.144280995202
Europe,2017,56164.13310083035
North America,2017,20500.197628660044
Oceania,2017,13240.844711768557
South America,2017,9646.413330997415
Africa,2018,2833.1555947630004
Asia,2018,18917.394729032327
Europe,2018,59932.480989020434
North America,2018,21151.316799377197
Oceania,2018,13918.710202227436
South America,2018,9539.931581379946
Africa,2019,2762.5622770739883
Asia,2019,18750.23544265479
Europe,2019,58601.598807299
North America,2019,21552.499502916202
Oceania,2019,13630.094476576685
South America,2019,9151.337543775931
Africa,2020,2402.784275275605
Asia,2020,16832.841431692406
Europe,2020,56940.062774123595
North America,2020,19832.02930723351
Oceania,2020,13066.494526669972
South America,2020,8113.244229186981
Africa,2021,2631.776083814206
Asia,2021,20020.579846438814
Europe,2021,66836.41633791754
North America,2021,21646.16703451861
Oceania,2021,14694.07098925086
South America,2021,9342.121788383994
Africa,2022,2789.905368665347
Asia,2022,21845.353056822136
Europe,2022,65874.7273337737
North America,2022,23521.579605413754
Oceania,2022,14745.147723560263
South America,2022,10814.91707125664
Africa,2023,2816.590694514669
Asia,2023,21088.402375434383
Europe,2023,70077.27271664477
North America,2023,24952.27322352167
Oceania,2023,15076.07642707357
South America,2023,11514.61782093929
Africa,2024,2887.258414486745
Asia,2024,21463.6753110457
Europe,2024,71958.12881027386
North America,2024,25965.89333280805
Oceania,2024,15240.746181481638
South America,2024,12639.270368693384
